date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:52	6984/6984	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22be894c5d0d63f3381ee3b538a66493a0:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.eot?xc1rry	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.eot	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:53	6984/6984	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22be894c5d0d63f3381ee3b538a66493a0:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.eot?	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxd41d.eot	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:53	6896/6896	---M--	200	added ('OK')	font/woff	etag:%220ae25876a2ee7d3c3bc83c07d4c3ebe9:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.woff?xc1rry	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.woff	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:53	6820/6820	---M--	200	added ('OK')	font/ttf	etag:%22d90cda4d7955cc35654b885d29a04a6b:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.ttf?xc1rry	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.ttf	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:53	15273/15273	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d398eda605952e360636b1c40aeaaf52:1455604058%22	https://framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmx.svg?xc1rry	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/styles/fonts/icogobmxf547.svg	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:54	2323/2323	---M--	200	added ('OK')	image/png	etag:%2234a1ff43589273ca202e1fa5bc6d110b:1455604052%22	https://framework-gb.cdn.gob.mx/assets/images/icons_full.png	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/images/icons_full.png	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:54	10/10	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2002:20:55%20GMT	https://framework-gb.cdn.gob.mx/assets/images/home_picture.jpg	C:/My%20Web%20Sites/prueba%201/framework-gb.cdn.gob.mx/assets/images/home_picture.jpg	(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:55	130608/130608	---M--	200	added ('OK')	font/woff2	etag:W/%221fe30-0zcUywg26p6+AvTMwigGWTkDFno%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65	C:/My%20Web%20Sites/prueba%201/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
20:20:56	176200/176200	---M--	200	added ('OK')	font/woff	etag:W/%222b048-zOJU1Q0vdEzY84TNSqKiPIhQ4u4%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-icons.woff?2820a3852bdb9a5832199cc61cec4e65	C:/My%20Web%20Sites/prueba%201/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/fonts/bootstrap-iconsafdf.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
20:20:56	10/10	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2002:20:57%20GMT	https://framework-gb.cdn.gob.mx/robots.txt		(from https://framework-gb.cdn.gob.mx/assets/styles/main.css)
20:20:57	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.1/font/bootstrap-icons.css)
